Jose Soto
Program 3

Key         List          Array
st          0.031 s    0.000 s
her         0.029 s    0.000 s
uips        0.029 s    0.000 s
nuzzl       0.034 s    0.000 s
gi          0.048 s    0.000 s
udgi        0.049 s    0.000 s
ni          0.034 s    0.000 s
ns          0.032 s    0.000 s
llas        0.031 s    0.000 s
hiz         0.046 s    0.000 s
ces         0.052 s    0.000 s
ti          0.037 s    0.000 s
anize       0.032 s    0.000 s
attl        0.034 s    0.000 s
eg          0.061 s    0.000 s
ayly        0.053 s    0.000 s
ston        0.031 s    0.000 s
ot          0.033 s    0.000 s
ks          0.029 s    0.000 s
easa        0.042 s    0.000 s
bo          0.038 s    0.000 s
sed         0.031 s    0.000 s
is          0.034 s    0.000 s
baf         0.029 s    0.000 s
ey          0.042 s    0.000 s
ropo        0.037 s    0.000 s
en          0.039 s    0.000 s
cei         0.034 s    0.000 s
confl       0.030 s    0.000 s
shm         0.033 s    0.000 s
hon         0.043 s    0.000 s
els         0.058 s    0.000 s
fisca       0.043 s    0.000 s
gin         0.029 s    0.000 s
sform       0.037 s    0.000 s
joh         0.047 s    0.000 s
list        0.052 s    0.000 s
tran        0.034 s    0.000 s
ck          0.031 s    0.000 s
illyc       0.039 s    0.000 s
wco         0.048 s    0.000 s
ett         0.053 s    0.000 s
itub        0.032 s    0.000 s
ingly       0.032 s    0.000 s
preem       0.031 s    0.000 s
em          0.035 s    0.000 s
rsing       0.031 s    0.000 s
ned         0.031 s    0.000 s
lo          0.031 s    0.000 s
sa          0.031 s    0.000 s
si          0.032 s    0.000 s
pazo        0.049 s    0.000 s
ry          0.057 s    0.000 s
in          0.053 s    0.000 s
dicho       0.029 s    0.000 s
anck        0.034 s    0.000 s
trop        0.033 s    0.000 s
stwo        0.035 s    0.000 s
oli         0.033 s    0.000 s
sul         0.031 s    0.000 s
ea          0.034 s    0.000 s
lope        0.040 s    0.000 s
ifi         0.058 s    0.000 s
ntal        0.052 s    0.000 s
accid       0.034 s    0.000 s
bra         0.029 s    0.000 s
hemac       0.037 s    0.000 s
cho         0.032 s    0.000 s
lub         0.033 s    0.000 s
yoi         0.035 s    0.000 s
bera        0.037 s    0.000 s
ngest       0.033 s    0.000 s
ure         0.039 s    0.000 s
ky          0.048 s    0.000 s
ovab        0.043 s    0.000 s
ga          0.029 s    0.000 s
ded         0.031 s    0.000 s
slav        0.032 s    0.000 s
best        0.029 s    0.000 s
swed        0.030 s    0.000 s
croma       0.030 s    0.000 s
latr        0.031 s    0.000 s
rm          0.036 s    0.000 s
briti       0.048 s    0.000 s
equ         0.043 s    0.000 s
xtur        0.037 s    0.000 s
ker         0.037 s    0.000 s
oma         0.043 s    0.000 s
lfil        0.040 s    0.000 s
tramo       0.032 s    0.000 s
tante       0.031 s    0.000 s
and         0.033 s    0.000 s
ed          0.034 s    0.000 s
oot         0.035 s    0.000 s
es          0.043 s    0.000 s
ch          0.033 s    0.000 s
ip          0.042 s    0.000 s
ple         0.038 s    0.000 s
dg          0.038 s    0.000 s
nt          0.041 s    0.000 s
mmer        0.041 s    0.000 s
ns          0.055 s    0.000 s
ated        0.050 s    0.000 s
in          0.063 s    0.000 s
ed          0.057 s    0.000 s
rigon       0.047 s    0.000 s
itiou       0.066 s    0.000 s
bur         0.059 s    0.000 s
rem         0.047 s    0.000 s
rit         0.052 s    0.000 s
prac        0.047 s    0.000 s
sm          0.061 s    0.000 s
ncat        0.050 s    0.000 s
din         0.030 s    0.000 s
eathe       0.032 s    0.000 s
dst         0.055 s    0.000 s
eti         0.062 s    0.000 s
eg          0.059 s    0.000 s
pa          0.048 s    0.000 s
ach         0.073 s    0.000 s
ati         0.053 s    0.000 s
ua          0.031 s    0.000 s
hile        0.030 s    0.000 s
gg          0.031 s    0.000 s
le          0.032 s    0.000 s
als         0.034 s    0.000 s
nec         0.037 s    0.000 s
orts        0.047 s    0.000 s
almi        0.050 s    0.000 s
shu         0.041 s    0.000 s
elsha       0.044 s    0.000 s
ra          0.043 s    0.000 s
ri          0.044 s    0.000 s
uc          0.049 s    0.000 s
hysio       0.039 s    0.000 s
rness       0.042 s    0.000 s
rese        0.042 s    0.000 s
teri        0.040 s    0.000 s
bb          0.032 s    0.000 s
ti          0.034 s    0.000 s
ro          0.033 s    0.000 s
ped         0.030 s    0.000 s
so          0.031 s    0.000 s
wrig        0.030 s    0.000 s
lled        0.031 s    0.000 s
ngs         0.032 s    0.000 s
mon         0.030 s    0.000 s
bus         0.029 s    0.000 s
yvoo        0.028 s    0.000 s
cuss        0.030 s    0.000 s
ers         0.036 s    0.000 s
art         0.048 s    0.000 s
ags         0.044 s    0.000 s
ticiz       0.037 s    0.000 s
able        0.032 s    0.000 s
as          0.038 s    0.000 s
gniz        0.032 s    0.000 s
nt          0.032 s    0.000 s
co          0.031 s    0.000 s
ca          0.030 s    0.000 s
ate         0.033 s    0.000 s
ch          0.034 s    0.000 s
ncong       0.039 s    0.000 s
gger        0.037 s    0.000 s
tangi       0.040 s    0.000 s
stae        0.039 s    0.000 s
ssion       0.040 s    0.000 s
acked       0.046 s    0.000 s
cal         0.042 s    0.000 s
tific       0.046 s    0.000 s
rious       0.035 s    0.000 s
ity         0.034 s    0.000 s
ivo         0.035 s    0.000 s
ters        0.032 s    0.000 s
ticul       0.031 s    0.000 s
purp        0.030 s    0.000 s
uperv       0.029 s    0.000 s
em          0.034 s    0.000 s
bsola       0.031 s    0.000 s
dic         0.044 s    0.000 s
lism        0.047 s    0.000 s
deval       0.048 s    0.000 s
onate       0.054 s    0.000 s
und         0.052 s    0.000 s
resi        0.054 s    0.000 s
che         0.037 s    0.000 s
qu          0.029 s    0.000 s
gr          0.032 s    0.000 s
og          0.035 s    0.000 s
er          0.034 s    0.000 s
dica        0.029 s    0.000 s
mbina       0.030 s    0.000 s
creol       0.030 s    0.000 s
ca          0.032 s    0.000 s
fore        0.038 s    0.000 s
ele         0.035 s    0.000 s
ass         0.034 s    0.000 s
lyg         0.031 s    0.000 s
lun         0.031 s    0.000 s
unyan       0.030 s    0.000 s
oxysu       0.032 s    0.000 s
fea         0.029 s    0.000 s
ozz         0.032 s    0.000 s
hro         0.029 s    0.000 s
ying        0.028 s    0.000 s
ync         0.028 s    0.000 s
umi         0.036 s    0.000 s
hier        0.048 s    0.000 s
leash       0.050 s    0.000 s
ramar       0.033 s    0.000 s
atial       0.032 s    0.000 s
hoolr       0.031 s    0.000 s
al          0.034 s    0.000 s
me          0.030 s    0.000 s
calcu       0.030 s    0.000 s
is          0.034 s    0.000 s
gusan       0.028 s    0.000 s
ub          0.032 s    0.000 s
ng          0.049 s    0.000 s
appre       0.052 s    0.000 s
erri        0.042 s    0.000 s
able        0.042 s    0.000 s
so          0.042 s    0.000 s
fles        0.036 s    0.000 s
abitu       0.040 s    0.000 s
ngo         0.040 s    0.000 s
lowab       0.037 s    0.000 s
strop       0.043 s    0.000 s
hims        0.037 s    0.000 s
mis         0.038 s    0.000 s
nu          0.039 s    0.000 s
de          0.035 s    0.000 s
ent         0.037 s    0.000 s
nula        0.032 s    0.000 s
mme         0.030 s    0.000 s
cotin       0.030 s    0.000 s
wil         0.028 s    0.000 s
ra          0.032 s    0.000 s
vo          0.067 s    0.000 s
ns          0.039 s    0.000 s
hes         0.034 s    0.000 s
lands       0.034 s    0.000 s
to          0.035 s    0.000 s
maea        0.032 s    0.000 s
micr        0.032 s    0.000 s
uroc        0.031 s    0.000 s
vi          0.030 s    0.000 s
proca       0.031 s    0.000 s
ier         0.035 s    0.000 s
ic          0.045 s    0.000 s
ith         0.035 s    0.000 s
necro       0.031 s    0.000 s
orras       0.032 s    0.000 s
tifi        0.032 s    0.000 s
lly         0.039 s    0.000 s
cu          0.045 s    0.000 s
ollin       0.043 s    0.000 s
neer        0.037 s    0.000 s
um          0.032 s    0.000 s
wrong       0.030 s    0.000 s
ry          0.040 s    0.000 s
rigin       0.040 s    0.000 s
ur          0.038 s    0.000 s
atio        0.048 s    0.000 s
pp          0.045 s    0.000 s
pdoo        0.044 s    0.000 s
he          0.040 s    0.000 s
iz          0.044 s    0.000 s
oces        0.041 s    0.000 s
est         0.073 s    0.000 s
mfor        0.096 s    0.000 s
